Test Number,Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale PRESSURE,Y Scale GAS,Y Scale HOSE
1,286_College_Test_1,316,3000,Test with sprinkler,None,None,None,200,140,50,None,None
2,286_College_Test_2,513,3000,Garage fire,None,None,None,200,2000,50,None,None
3,286_College_Test_3,513,3000,Living room fire,None,None,None,200,2000,50,None,None
4,489_N_Forest_Test_1,492,1200,Living room fire,None,None,20,200,2000,50,25,None
5,489_N_Forest_Test_2,241,1700,Second floor bedroom fire,None,None,20,200,2000,50,25,None
6,302_College_Test_1,127,3000,Bedroom fire,None,None,None,200,2000,50,25,None
7,302_College_Test_2,292,3000,Living room fire,None,None,None,200,2000,50,25,None
8,302_College_Test_3,909,3000,Bathroom/attic fire,None,None,None,200,2000,50,25,None
9,305_Manning_Test_1,75,3000,Garage fire,None,None,None,200,2000,50,25,None
10,305_Manning_Test_2,270,3000,Bedroom fire,None,None,None,200,2000,50,25,None
11,305_Manning_Test_3,0,3000,Complete burndown,None,None,None,200,2000,50,25,None
12,289_Manning_Test_1,533,3000,Basement fire,None,None,None,200,2000,50,25,None
13,289_Manning_Test_2,290,3000,Deck/attic fire,None,None,None,200,2000,50,25,None
