Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,15.8,11.956
2,14.8,10.948
3,12.9,9.072
4,11.1,7.241
5,4.9,1.061
6,0,0
7,0,0
8,14.3,10.419
9,12.2,8.336
10,9.9,6.057
11,4.7,0.842
12,3.9,0.053
13,0,0
14,0,0
15,12.2,8.31
16,10.7,6.843
17,6.2,2.352
18,4,0.13
19,3.9,0.075
20,0,0
21,0,0
22,10.6,6.701
23,7.8,3.939
24,4,0.151
25,3.9,0.05
26,3.8,0.028
27,0,0
28,0,0
29,5.8,1.943
30,4,0.131
31,3.9,0.04
32,3.9,0.012
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
