s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7894861E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7894861E-003, 3.7728344E-003
 1.0000000E+000, 3.6438666E+002,-1.2653242E+002,-7.5841908E+001,-6.8504374E+000,-3.2923465E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0265250E+002, 1.5512897E+002, 3.1494059E-002
 2.0130801E+000, 1.1661018E+003,-3.9327419E+002,-4.6926509E+002,-1.4686531E+001,-1.9487655E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6460060E+001, 2.8868113E+002, 8.3907056E-002
 3.0033710E+000, 2.0248798E+003,-6.7340971E+002,-1.1608897E+003,-4.6314350E+001,-3.5777571E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6091061E+001, 1.4390824E+002, 1.3570233E-001
 4.0022116E+000, 2.6896891E+003,-9.1125400E+002,-1.5086452E+003,-1.0941113E+002,-5.7388602E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9454595E+001, 1.5980487E+002, 1.8529666E-001
 5.0054011E+000, 3.6006529E+003,-1.2184345E+003,-2.1283921E+003,-1.5000545E+002,-6.9316762E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5884453E+001, 1.0312768E+002, 2.3201436E-001
 6.0017290E+000, 4.4572564E+003,-1.5143444E+003,-2.5806231E+003,-2.1634802E+002,-7.9735770E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0652914E+002, 1.4514353E+002, 2.7501459E-001
 7.0019078E+000, 5.0408266E+003,-1.7410039E+003,-2.9476782E+003,-2.8718460E+002,-9.2020449E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2000992E+002, 6.4039726E+001, 3.1389291E-001
 8.0023565E+000, 5.4947862E+003,-1.9776764E+003,-3.1017186E+003,-3.6219011E+002,-1.0844357E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8627770E+001, 5.2116642E+001, 3.4867096E-001
 9.0010452E+000, 6.1104983E+003,-2.2589847E+003,-3.2859287E+003,-4.4533034E+002,-1.3745861E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0846837E+002, 1.1887995E+002, 3.7930552E-001
 1.0000106E+001, 6.1248237E+003,-2.3907018E+003,-3.0963879E+003,-5.0953086E+002,-1.5967570E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3587452E+002, 1.2660633E+002, 4.0600891E-001
 1.1001385E+001, 6.9306939E+003,-2.8393715E+003,-3.4004139E+003,-5.7069949E+002,-1.4898133E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4549348E+002, 1.1871918E+002, 4.2903806E-001
 1.2002920E+001, 7.1364726E+003,-3.1264611E+003,-3.3024590E+003,-6.1298292E+002,-1.5273520E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1952766E+002, 9.3042187E+001, 4.4879368E-001
 1.3000172E+001, 7.3023635E+003,-3.2471858E+003,-3.3005040E+003,-6.2782027E+002,-1.4601704E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0297607E+002, 1.2539325E+002, 4.6553570E-001
 1.4000660E+001, 7.8323666E+003,-3.6737420E+003,-3.3741005E+003,-6.5298503E+002,-1.4986276E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3881645E+002, 1.3004040E+002, 4.7965081E-001
 1.5000122E+001, 8.3813572E+003,-4.0206428E+003,-3.5544544E+003,-6.9931723E+002,-1.5859795E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0144282E+002, 1.0535680E+002, 4.9152349E-001
 1.6001650E+001, 7.8009237E+003,-3.9485439E+003,-3.0740088E+003,-7.0402960E+002,-1.8561448E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6609712E+001, 7.2485172E+001, 5.0146320E-001
 1.7003225E+001, 8.2676582E+003,-4.1757241E+003,-3.3047414E+003,-7.0635034E+002,-1.6191190E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6809520E+001, 7.9223250E+001, 5.0974471E-001
 1.8002346E+001, 8.6986096E+003,-4.3231670E+003,-3.5990810E+003,-7.3713065E+002,-1.7604024E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2242386E+001, 3.7470509E+001, 5.1661131E-001
 1.9003590E+001, 7.8952785E+003,-4.1807303E+003,-2.8793804E+003,-7.2694993E+002,-1.5895566E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2081925E+002, 1.0662830E+002, 5.2230775E-001
 2.0000738E+001, 8.9310276E+003,-4.7576944E+003,-3.2394924E+003,-7.6131357E+002,-2.0375456E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1389825E+002, 1.7048969E+002, 5.2700771E-001
 2.1004660E+001, 8.5463572E+003,-4.4993297E+003,-3.2874872E+003,-7.6451067E+002,-2.1301136E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2222102E+001,-7.1004886E+000, 5.3089002E-001
 2.2001898E+001, 8.6827934E+003,-4.8016244E+003,-2.8379770E+003,-7.7588915E+002,-1.8488199E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9890935E+002, 2.6545399E+002, 5.3409437E-001
 2.3004593E+001, 7.7434644E+003,-4.7801010E+003,-2.2159516E+003,-7.7353151E+002,-1.9256463E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2566446E+001,-2.8045257E+001, 5.3672738E-001
 2.4002796E+001, 6.8584071E+003,-4.4402342E+003,-1.6212989E+003,-7.3571780E+002,-1.7699744E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3905705E+001, 5.9386195E+001, 5.3889766E-001
 2.5002649E+001, 7.7822365E+003,-4.6330465E+003,-2.2421328E+003,-7.1444933E+002,-1.5652546E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4382271E+002, 1.9104264E+002, 5.4067391E-001
 2.6002722E+001, 7.9438247E+003,-4.7531294E+003,-2.2697085E+003,-7.4320188E+002,-1.4893015E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0613774E+002, 1.7629562E+002, 5.4213450E-001
 2.7001305E+001, 6.6968930E+003,-4.3059973E+003,-1.7326092E+003,-7.2002981E+002,-1.4552259E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1259654E+001,-6.3198546E+001, 5.4333245E-001
 2.8001114E+001, 7.4670508E+003,-4.3525983E+003,-2.2891459E+003,-7.1832852E+002,-1.3944948E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1156346E+002, 1.0558359E+002, 5.4431535E-001
 2.9005762E+001, 6.1000075E+003,-3.9655862E+003,-1.4528590E+003,-7.3188222E+002,-1.1299888E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1718253E+001,-5.1449888E+001, 5.4512345E-001
