Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale TC_Helmet,Y Scale GAS,Y Scale HOSE,Y Scale TC_Gear,Y Scale PRESSURE,Y Scale TC_Manikin
1,PPV,PPV_NCCNY,PPV_NCCNC,60,180,,None,None,None,None,None,None,None,None,None,None,None
2,PPV,PPV_NOCNY,PPV_NOCNC,60,240,,None,None,None,None,None,None,None,None,None,None,None
3,PPV,PPV_NCONY,PPV_NCONC,60,240,,None,None,None,None,None,None,None,None,None,None,None
4,PPV,PPV_NOONY,PPV_NOONC,60,240,,None,None,None,None,None,None,None,None,None,None,None
5,PPV,PPV_YoCONY,PPV_OCONC,70,250,,None,None,None,None,None,None,None,None,None,None,None
6,PPV,PPV_YoOONY,PPV_OOONC,60,240,,None,None,None,None,None,None,None,None,None,None,None
7,PPV,PPV_YiCCNY,PPV_ICCNC,1,240,,None,None,None,None,None,None,None,None,None,None,None
8,PPV,PPV_YiOCNY,PPV_IOCNC,64,240,,None,None,None,None,None,None,None,None,None,None,None
9,PPV,PPV_YiCONY,PPV_ICONC,60,240,,None,None,None,None,None,None,None,None,None,None,None
10,PPV,PPV_YiOONY,PPV_IOONC,60,261,,None,None,None,None,None,None,None,None,None,None,None
11,PPV,PPV_YoCOrNY,PPV_OCRNC,60,242,,None,None,None,None,None,None,None,None,None,None,None
12,PPV,PPV_YoOOrNY,PPV_OORNC,60,242,,None,None,None,None,None,None,None,None,None,None,None
13,PPV,PPV_YoColNY,PPV_OCLNC,60,242,,None,None,None,None,None,None,None,None,None,None,None
14,PPV,PPV_YoOOlNY,PPV_OOLNC,60,242,,None,None,None,None,None,None,None,None,None,None,None
15,PPV,PPV_NCCNN,PPV_NCCNO,60,180,,None,None,None,None,None,None,None,None,None,None,None
16,PPV,PPV_NOCNN,PPV_NOCNO,60,240,,None,None,None,None,None,None,None,None,None,None,None
17,PPV,PPV_NCONN,PPV_NCONO,60,242,,None,None,None,None,None,None,None,None,None,None,None
18,PPV,PPV_NOONN,PPV_NOONO,60,242,,None,None,None,None,None,None,None,None,None,None,None
19,PPV,PPV_YoCONN,PPV_OCONO,60,240,,None,None,None,None,None,None,None,None,None,None,None
20,PPV,PPV_YoOONN,PPV_OOONO,60,242,,None,None,None,None,None,None,None,None,None,None,None
21,PPV,PPV_YiCCNN,PPV_ICCNO,60,240,,None,None,None,None,None,None,None,None,None,None,None
22,PPV,PPV_YiOCNN,PPV_IOCNO,61,242,,None,None,None,None,None,None,None,None,None,None,None
23,PPV,PPV_YiCONN,PPV_ICONO,71,251,,None,None,None,None,None,None,None,None,None,None,None
24,PPV,PPV_YiOONN,PPV_IOONO,66,246,,None,None,None,None,None,None,None,None,None,None,None
25,PPV,PPV_YoCOrNN,PPV_OCRNO,60,241,,None,None,None,None,None,None,None,None,None,None,None
26,PPV,PPV_YoOOrNN,PPV_OORNO,60,240,,None,None,None,None,None,None,None,None,None,None,None
27,PPV,PPV_YoCOlNN,PPV_OCLNO,64,244,,None,None,None,None,None,None,None,None,None,None,None
28,PPV,PPV_YoOOlNN,PPV_OOLNO,60,241,,None,None,None,None,None,None,None,None,None,None,None
29,HOSE,HOSE_DSTODF,HOSE_DSXOXF,128,612,Monitor located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,5,None,None,None,None,120,None,None,None
30,HOSE,HOSE_DNTODF,HOSE_DNXOXF,120,660,Monitor located at Door BC,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,5,None,None,None,None,120,None,None,None
31,HOSE,HOSE_DSTADF,HOSE_DSXAXF,150,1980,Manual nozzle located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,5,None,None,None,None,120,None,None,None
32,HOSE,HOSE_DNTADM,HOSE_DNXAXX,180,1920,Manual nozzle located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,5,None,None,None,None,120,None,None,None
33,HOSE,HOSE_IMTADM,HOSE_IXXAXX,60,660,Monitor located near Door BC,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,5,None,None,None,None,120,None,None,None
