s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.0493337E-003, 1.2471980E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0492090E-003, 0.0000000E+000, 0.0000000E+000
 1.0000453E+000, 2.1274347E+001,-7.1421173E+000,-1.2558870E+001,-3.8984908E-001, 1.3105971E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4730875E-001, 1.3145708E+000, 7.0233402E-004, 7.0233402E-004
 2.0004287E+000, 6.0549919E+001,-1.9489478E+001,-3.9816614E+001,-4.2065731E-001, 1.9555642E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5681692E-001, 1.0187262E+000, 1.4260609E-003, 1.4260609E-003
 3.0011601E+000, 7.7012590E+001,-2.5226401E+001,-5.0944096E+001,-5.4566981E-001, 2.0788616E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4028280E-001, 5.0430913E-001, 1.5746753E-003, 1.5746753E-003
 4.0004344E+000, 8.1101934E+001,-2.6295278E+001,-5.4493110E+001,-4.8840165E-001, 2.1028607E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9453537E-001, 3.5429977E-002, 1.5962538E-003, 1.5962538E-003
 5.0001078E+000, 7.8270171E+001,-2.5465799E+001,-5.2370184E+001,-4.2252828E-001, 2.0474245E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9343286E-002, 2.1640194E-001, 1.5992024E-003, 1.5992024E-003
 6.0014296E+000, 8.0181772E+001,-2.5906932E+001,-5.3449980E+001,-4.3748058E-001, 1.9684085E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3535459E-001, 5.8422097E-001, 1.5996024E-003, 1.5996024E-003
 7.0002775E+000, 8.1059752E+001,-2.6190419E+001,-5.4202414E+001,-4.0143530E-001, 1.9907842E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3159392E-002, 4.6456238E-001, 1.5996565E-003, 1.5996565E-003
 8.0011797E+000, 8.1602457E+001,-2.6420929E+001,-5.4781523E+001,-3.7833952E-001, 2.0426506E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1223610E-002, 2.2593040E-001, 1.5996639E-003, 1.5996639E-003
 9.0018559E+000, 8.2576982E+001,-2.6684831E+001,-5.5493606E+001,-2.9099246E-001, 2.0755646E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7364820E-002, 3.1510959E-001, 1.5996649E-003, 1.5996649E-003
 1.0001734E+001, 8.1891417E+001,-2.6542239E+001,-5.4792472E+001,-3.6039856E-001, 2.0959710E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6676976E-002, 4.0590466E-001, 1.5996650E-003, 1.5996650E-003
 1.1000291E+001, 8.1192118E+001,-2.6258348E+001,-5.4569796E+001,-3.2758816E-001, 2.1782052E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0575066E-002, 2.5420630E-001, 1.5996650E-003, 1.5996650E-003
 1.2000998E+001, 8.1315598E+001,-2.6440118E+001,-5.4101313E+001,-4.2486489E-001, 2.1338367E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2918766E-001, 5.6268606E-001, 1.5996650E-003, 1.5996650E-003
 1.3000340E+001, 7.6336180E+001,-2.4725907E+001,-5.1495110E+001,-2.7475589E-001, 2.0953995E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1150534E-001, 4.9947525E-002, 1.5996650E-003, 1.5996650E-003
 1.4002362E+001, 8.3074974E+001,-2.6955875E+001,-5.5579502E+001,-2.7038930E-001, 2.1288426E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3813159E-001, 4.8209121E-001, 1.5996650E-003, 1.5996650E-003
 1.5000513E+001, 8.0023323E+001,-2.5855270E+001,-5.3756821E+001,-4.1597629E-001, 2.0921186E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0252144E-001, 2.0446724E-001, 1.5996650E-003, 1.5996650E-003
 1.6001621E+001, 7.9802705E+001,-2.5942733E+001,-5.3296494E+001,-3.3474752E-001, 2.0804274E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2755123E-002, 4.3677347E-001, 1.5996650E-003, 1.5996650E-003
 1.7000797E+001, 8.1595610E+001,-2.6329312E+001,-5.5115810E+001,-1.9559694E-001, 2.0889923E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8478555E-001, 1.6378969E-001, 1.5996650E-003, 1.5996650E-003
 1.8000469E+001, 8.0061533E+001,-2.6076107E+001,-5.3452453E+001,-2.6078294E-001, 2.0655584E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6970136E-001, 4.7874566E-001, 1.5996650E-003, 1.5996650E-003
 1.9000200E+001, 8.2809594E+001,-2.6874541E+001,-5.5448725E+001,-2.5448875E-001, 2.1322302E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2113207E-001, 4.4506342E-001, 1.5996650E-003, 1.5996650E-003
